罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,東淵野辺４丁目,2019/9/21,21,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,東淵野辺４丁目,2019/12/3,21,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,東淵野辺５丁目,2019/4/25,15,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2019/5/15,7,一戸建住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2019/8/4,20,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部１丁目,2019/9/17,0,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部２丁目,2019/7/6,10,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部２丁目,2019/7/25,19,一戸建住宅,65-69歳,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部３丁目,2019/4/22,6,道路上,30歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部３丁目,2019/9/4,1,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部３丁目,2019/12/1,15,道路上,50歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部４丁目,2019/5/26,13,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,矢部４丁目,2019/6/7,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,相模原,淵野辺駅南口,141526,神奈川県,相模原市中央区,由野台２丁目,2019/9/25,21,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,小山,2019/8/30,17,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,小山３丁目,2019/10/23,17,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,小山３丁目,2019/11/9,20,道路上,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原１丁目,2019/9/4,18,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2018/10/26,18,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/5/1,1,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/5/4,0,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/8/11,6,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/8/13,10,その他,10歳代,中学生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/8/17,13,その他,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原２丁目,2019/11/14,8,道路上,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原３丁目,2018/12/22,19,道路上,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原３丁目,2019/3/26,11,４階建て以上共同住宅,10歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原３丁目,2019/4/7,10,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原３丁目,2019/11/8,17,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原４丁目,2019/1/4,13,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原４丁目,2019/9/20,18,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原４丁目,2019/9/30,17,その他,65-69歳,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原５丁目,2019/5/24,14,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原５丁目,2019/10/1,21,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原６丁目,2019/5/4,17,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,相模原６丁目,2019/9/4,20,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相模原駅前,141526,神奈川県,相模原市中央区,清新２丁目,不明,不明,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央２丁目,2019/2/18,11,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央２丁目,2019/4/8,17,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央３丁目,2019/8/3,15,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央４丁目,2019/5/23,18,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央５丁目,2019/7/20,19,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,中央５丁目,2019/12/11,18,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,横山２丁目,2019/8/30,15,一戸建住宅,50歳代,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,横山４丁目,2019/4/6,14,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,横山５丁目,2019/3/1,17,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,横山５丁目,2019/3/31,17,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,横山,141526,神奈川県,相模原市中央区,横山６丁目,2019/11/3,16,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,相生２丁目,2019/2/28,21,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,相生３丁目,2019/4/30,16,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,高根１丁目,2019/8/2,22,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,並木２丁目,2019/10/2,15,一戸建住宅,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,並木２丁目,2019/10/6,23,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,並木３丁目,2019/2/15,22,一戸建住宅,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,並木４丁目,2019/4/11,20,一戸建住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,富士見３丁目,2019/1/6,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,富士見６丁目,2019/8/11,7,その他,法人・団体、被害者なし,法人・団体、被害者なし,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,富士見６丁目,2019/10/4,21,その他の住宅（３階建て以下共同住宅等）,10歳代,中学生,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019/4/26,18,一戸建住宅,10歳代,大学生,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,弥栄２丁目,2019/5/21,8,一戸建住宅,10歳代,大学生,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,弥栄３丁目,2019/9/27,7,その他,60-64歳,その他,施錠した
窃盗,自転車盗,相模原,相生,141526,神奈川県,相模原市中央区,弥栄３丁目,2019/12/9,7,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/5/26,8,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/6/11,16,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/7/8,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/7/17,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/7/20,12,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/9/18,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/9/19,13,その他,10歳代,その他,施錠した
窃盗,自転車盗,相模原,田名,141526,神奈川県,相模原市中央区,田名,2019/9/29,10,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2019/5/18,19,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2019/6/28,9,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2019/6/29,18,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,上溝,2019/7/3,17,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,田名,2019/7/15,14,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,相模原,番田,141526,神奈川県,相模原市中央区,田名,2019/10/20,12,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新５丁目,2019/8/17,19,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新７丁目,2019/1/13,23,駐車（輪）場,65-69歳,その他,施錠した
窃盗,自転車盗,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,清新７丁目,2019/10/14,17,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,南橋本１丁目,2019/6/22,16,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原,南橋本駅前,141526,神奈川県,相模原市中央区,南橋本３丁目,2019/12/14,10,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,津久井,城山,141518,神奈川県,相模原市緑区,原宿南２丁目,2019/3/23,19,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,津久井,城山,141518,神奈川県,相模原市緑区,原宿南３丁目,2019/1/12,21,その他の住宅（３階建て以下共同住宅等）,10歳代,中学生,施錠した
窃盗,自転車盗,津久井,城山,141518,神奈川県,相模原市緑区,向原２丁目,2019/2/18,19,一戸建住宅,30歳代,その他,施錠した
窃盗,自転車盗,津久井,城山,141518,神奈川県,相模原市緑区,向原３丁目,2019/3/25,14,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,大野台６丁目,2019/6/1,8,４階建て以上共同住宅,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2018/9/2,20,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2018/12/19,20,その他,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2019/4/5,6,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2019/6/22,18,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2019/7/20,7,その他の住宅（３階建て以下共同住宅等）,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵１丁目,2019/9/6,17,一戸建住宅,10歳代,大学生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/1/9,14,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/1/17,15,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/2/24,9,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/3/3,18,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/5/6,11,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/5/14,13,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/6/14,15,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/6/19,14,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/7/28,21,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/9/8,9,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/9/20,15,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/10/3,19,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/10/17,10,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/11/29,12,その他の住宅（３階建て以下共同住宅等）,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵２丁目,2019/12/17,16,その他,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,古淵駅前,141534,神奈川県,相模原市南区,古淵４丁目,2019/9/13,8,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,鵜野森１丁目,2019/2/23,1,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,鵜野森３丁目,2019/1/3,9,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,鵜野森３丁目,2019/7/20,18,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,古淵３丁目,2019/2/11,15,駐車（輪）場,10歳代,小学生,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,古淵３丁目,2019/5/4,11,その他,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,古淵３丁目,2019/5/22,11,その他,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,古淵３丁目,2019/7/1,8,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,古淵３丁目,2019/7/21,9,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,西大沼１丁目,2019/5/6,20,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,大野,141534,神奈川県,相模原市南区,若松１丁目,2019/2/8,17,一戸建住宅,65-69歳,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,旭町,2019/5/19,14,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,相模台２丁目,2019/4/17,21,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,相模台２丁目,2019/4/17,21,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,相模台２丁目,2019/9/25,7,一戸建住宅,10歳未満,小学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,相模台２丁目,2019/11/28,19,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,相模台４丁目,2019/7/5,13,４階建て以上共同住宅,30歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,桜台,2019/1/4,12,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,桜台,2019/6/20,13,４階建て以上共同住宅,10歳代,中学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台２丁目,2019/1/26,12,道路上,10歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台２丁目,2019/9/13,22,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台３丁目,2018/11/6,19,４階建て以上共同住宅,10歳代,大学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台３丁目,2019/2/1,12,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台３丁目,2019/12/20,16,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台５丁目,2019/3/19,12,駐車（輪）場,30歳代,大学生,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台５丁目,2019/4/14,2,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,南大野,141534,神奈川県,相模原市南区,南台５丁目,2019/9/16,17,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,上鶴間本町２丁目,2019/10/10,0,その他の住宅（３階建て以下共同住宅等）,10歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野２丁目,2019/11/11,11,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2018/11/22,20,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2018/12/18,14,道路上,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2018/12/27,15,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/2/18,10,その他,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/2/26,8,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/3/21,0,道路上,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/4/9,21,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/6/17,9,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/6/29,0,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/8/22,13,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/10/23,12,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/11/16,11,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/11/24,13,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/12/11,8,道路上,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野３丁目,2019/12/13,19,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野４丁目,2019/1/9,9,４階建て以上共同住宅,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野４丁目,2019/2/8,12,４階建て以上共同住宅,65-69歳,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野４丁目,2019/4/25,22,駐車（輪）場,10歳代,中学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野４丁目,2019/8/3,12,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野４丁目,2019/9/2,13,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野５丁目,2019/2/25,17,４階建て以上共同住宅,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野５丁目,2019/11/11,23,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野６丁目,2019/4/1,22,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野６丁目,2019/8/19,7,その他,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野７丁目,2019/1/3,16,道路上,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野７丁目,2019/7/20,11,その他,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野８丁目,2019/5/14,2,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野８丁目,2019/7/8,17,その他の住宅（３階建て以下共同住宅等）,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,相模大野駅前,141534,神奈川県,相模原市南区,相模大野９丁目,2019/1/27,12,４階建て以上共同住宅,20歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,上鶴間６丁目,2019/4/15,12,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,上鶴間７丁目,2019/7/4,15,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,上鶴間７丁目,2019/10/14,7,その他,10歳代,高校生,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間１丁目,2019/3/21,21,４階建て以上共同住宅,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間１丁目,2019/5/10,22,その他の住宅（３階建て以下共同住宅等）,30歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間１丁目,2019/8/12,22,その他の住宅（３階建て以下共同住宅等）,50歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間１丁目,2019/12/23,0,４階建て以上共同住宅,20歳代,大学生,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間４丁目,2019/4/22,15,その他の住宅（３階建て以下共同住宅等）,70歳以上,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間５丁目,2019/10/31,22,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
窃盗,自転車盗,相模原南,東林間,141534,神奈川県,相模原市南区,東林間６丁目,2019/5/18,19,その他の住宅（３階建て以下共同住宅等）,40歳代,その他,施錠した
